0,1,2,3,4,5,0
0,1,2,3,4,5,1
0,1,2,3,4,5,2
0,1,2,3,4,5,3
0,3,6,7,8,4,2
0,3,6,7,8,4,4
0,3,6,7,8,4,5
0,3,6,7,8,4,6
0,3,6,7,4,5,2
0,3,6,7,4,5,7
0,3,6,7,4,5,5
0,3,6,7,4,5,6
9,10,11,12,3,13,8
9,10,11,12,3,13,9
9,10,11,12,3,13,10
9,10,11,12,3,13,11
9,10,11,12,3,14,9
9,10,11,12,3,14,10
9,10,11,12,3,14,11
9,10,11,12,3,14,12
9,10,11,12,15,13,10
9,10,11,12,15,13,11
9,10,11,12,15,13,13
9,10,11,12,15,13,12
9,10,11,12,15,16,9
9,10,11,12,15,16,11
9,10,11,12,15,16,13
9,10,11,12,15,16,12
9,10,11,12,15,17,8
9,10,11,12,15,17,9
9,10,11,12,15,17,10
9,10,11,12,15,17,12
9,10,11,12,18,19,8
9,10,11,12,18,19,9
9,10,11,12,18,19,10
9,10,11,12,18,19,12
9,10,11,12,18,20,8
9,10,11,12,18,20,10
9,10,11,12,18,20,11
9,10,11,12,18,20,13
9,10,11,12,18,21,8
9,10,11,12,18,21,9
9,10,11,12,18,21,11
9,10,11,12,18,21,13
9,10,11,12,22,23,8
9,10,11,12,22,23,9
9,10,11,12,22,23,10
9,10,11,12,22,23,12
9,10,11,12,22,19,8
9,10,11,12,22,19,9
9,10,11,12,22,19,10
9,10,11,12,22,19,11
9,10,11,12,22,17,9
9,10,11,12,22,17,11
9,10,11,12,22,17,13
9,10,11,12,22,17,12
9,10,11,12,24,21,8
9,10,11,12,24,21,9
9,10,11,12,24,21,10
9,10,11,12,24,21,13
9,10,11,12,25,23,9
9,10,11,12,25,23,10
9,10,11,12,25,23,11
9,10,11,12,25,23,13
9,10,11,12,25,19,8
9,10,11,12,25,19,9
9,10,11,12,25,19,10
9,10,11,12,25,19,13
9,10,11,12,25,20,9
9,10,11,12,25,20,10
9,10,11,12,25,20,13
9,10,11,12,25,20,12
9,10,11,12,23,13,8
9,10,11,12,23,13,9
9,10,11,12,23,13,10
9,10,11,12,23,13,11
9,10,11,12,23,26,8
9,10,11,12,23,26,9
9,10,11,12,23,26,11
9,10,11,12,23,26,13
9,10,11,12,23,17,9
9,10,11,12,23,17,11
