0,1,2,13
0,3,4,1
0,3,4,2
0,5,6,0
7,8,9,30
7,10,11,29
7,12,13,27
7,14,15,9
7,5,16,20
7,5,16,23
7,17,18,14
7,19,20,15
7,19,20,17
7,21,22,15
7,21,23,15
7,21,23,19
7,24,25,29
7,15,26,29
7,15,26,13
7,26,27,0
28,29,30,41
28,29,30,42
28,5,31,37
32,33,34,105
35,19,36,23
37,38,39,136
8,40,41,10
8,42,23,0
8,43,36,13
8,43,36,6
8,44,45,6
8,19,46,55
8,47,48,3
8,47,48,6
49,50,51,47
49,52,53,18
49,52,53,65
49,52,53,46
49,54,55,29
49,54,55,58
49,56,57,65
49,56,57,56
49,56,57,60
49,51,58,62
49,51,58,64
49,51,58,46
49,59,60,29
49,61,62,58
49,61,62,60
63,1,64,22
63,1,64,25
63,65,66,21
63,67,64,22
63,34,68,23
63,69,70,68
63,69,70,25
63,2,70,22
63,2,70,67
63,71,72,22
63,73,25,68
63,74,64,20
63,74,64,22
75,76,77,392
78,54,53,81
78,2,18,9
78,2,18,12
79,34,22,58
79,34,22,76
79,80,64,80
79,80,64,76
81,19,82,87
81,83,84,126
81,47,85,59
86,87,88,105
50,89,90,58
50,1,91,93
50,92,91,47
50,4,93,93
50,80,94,56
95,96,97,40
95,98,99,34
100,101,102,196
103,66,104,393
105,52,91,19
105,52,91,75
106,107,108,44
109,110,111,394
109,110,111,395
112,3,113,1
112,113,114,0
89,90,115,29
89,90,115,47
89,116,117,29
89,118,4,62
89,118,119,29
89,120,13,120
89,87,121,115
89,17,58,62
89,17,58,29
89,17,58,57
89,17,58,58
89,17,58,19
89,122,61,113
89,122,61,57
89,11,57,15
89,11,57,18
89,11,57,56
89,11,57,46
89,11,57,91
89,123,25,57
89,123,25,60
89,123,94,58
89,124,125,113
89,92,23,18
89,92,23,63
89,92,23,59
89,92,23,60
89,92,126,57
89,4,127,15
89,4,127,91
89,128,129,113
89,128,129,78
89,130,131,79
89,132,24,58
89,58,26,14
89,58,26,17
89,58,26,29
89,133,82,29
89,60,20,78
89,60,20,80
89,60,20,61
89,60,20,58
89,80,134,29
89,80,134,58
89,80,62,61
89,80,62,63
89,80,62,47
89,80,62,19
89,80,62,91
10,90,1,24
10,52,131,79
10,116,135,16
10,118,24,63
10,54,93,17
10,54,93,61
10,54,93,62
10,54,93,63
10,54,93,124
10,54,93,92
10,54,93,122
10,136,22,113
10,136,22,123
10,137,138,20
10,56,92,17
10,56,92,64
10,125,139,78
10,125,139,65
10,53,68,24
10,140,70,113
10,92,131,79
10,141,115,16
10,141,115,93
10,51,142,14
10,143,144,14
10,143,144,65
10,143,144,62
10,143,144,29
10,143,144,76
10,145,2,21
10,145,2,67
10,13,146,77
10,24,126,88
10,117,147,20
10,117,147,66
10,135,126,74
10,135,148,122
10,126,149,29
150,34,23,92
150,34,23,88
150,125,151,92
150,125,151,122
150,125,152,92
150,152,24,88
150,153,15,124
150,153,15,122
150,93,154,124
150,93,154,88
155,156,154,152
155,157,22,127
155,157,158,131
155,159,160,165
161,39,162,49
163,2,121,118
90,1,129,66
90,54,82,63
90,54,82,46
90,92,57,61
90,92,57,47
90,51,164,59
90,51,164,60
90,165,164,65
90,165,164,62
166,167,110,0
166,18,26,9
1,12,40,22
1,12,40,24
1,40,168,10
1,40,169,4
1,40,169,5
1,170,156,10
1,171,9,4
1,11,24,57
1,11,24,46
1,11,24,91
1,141,61,21
1,172,138,23
1,172,138,66
1,13,117,66
1,13,117,67
1,173,18,2
1,173,18,13
1,174,175,27
1,174,175,22
1,176,46,62
1,177,169,19
1,169,164,16
1,178,64,22
1,178,64,66
1,60,25,62
1,60,25,63
1,25,62,57
1,25,62,47
1,15,165,16
29,5,30,33
29,5,30,36
179,53,149,113
179,53,149,17
179,58,22,17
179,58,22,92
179,15,64,75
12,3,180,1
