0,444,1995,861,1214,1541,1933,823,1581,1156,958,99,1447,1869,2054,1781,591,174,870,227,1509
1,1995,444,1214,1637,357,1796,1197,8,1541,74,1993,35,456,1156,1933,92,861,498,958,823
2,174,444,861,1869,1156,958,991,1214,1995,1447,944,227,871,870,2068,823,591,1933,99,1541
3,513,327,1995,171,799,7,444,1214,958,1541,2034,1156,1783,861,1933,410,1581,823,1588,1439
4,444,1995,861,1214,958,1541,1933,823,1993,1796,8,456,498,35,1637,92,1197,31,357,1156
5,1281,1749,1381,1539,609,1332,1649,763,1241,1775,1806,711,210,1712,2034,299,109,7,440,733
6,958,1995,2054,1156,444,1214,7,1933,561,1541,1322,227,1937,2037,823,1588,1350,1581,861,44
7,1796,8,35,456,357,1993,74,1637,92,740,31,1197,1779,1951,498,1387,117,1009,958,289
8,513,2034,1783,1969,327,1712,934,193,171,7,1022,2059,1511,23,1559,1342,405,1699,1621,794
9,444,958,456,1995,1796,31,1637,1541,357,1993,1156,8,861,1214,1933,1197,35,823,74,498
10,679,839,1108,905,1898,1219,1800,422,1851,621,1275,1793,1035,759,2043,521,1255,1592,2065,1844
11,1480,991,2068,871,944,1750,791,1581,227,1995,444,378,823,1541,1214,1156,1447,1221,861,942
12,444,1541,1995,1214,861,1993,823,1156,1796,958,1933,8,357,31,1637,1197,1404,498,92,18
13,1440,1640,1621,613,289,1509,1699,609,1156,483,1995,1322,2037,1192,1937,561,364,965,255,6
14,174,1869,1640,958,1322,6,1621,561,1440,1712,513,870,2013,799,171,934,1559,1699,1588,205
15,376,68,1821,995,168,1577,113,1144,1111,1740,298,730,941,1542,696,1351,1342,698,1384,801
16,513,1783,327,171,799,7,2034,1581,1588,410,958,1937,1869,174,870,1640,1439,444,2054,1541
17,444,1995,861,1933,1156,823,1214,1541,958,1993,1796,8,456,498,35,1637,92,1197,31,357
18,21,1697,1061,1046,1066,909,1032,1814,1927,1261,1567,698,1915,475,1342,1932,1492,68,1284,916
19,1692,531,691,434,719,1624,963,731,1018,1522,991,1672,1873,806,43,1684,375,1529,224,579
20,174,1869,1559,171,327,799,1046,513,2013,804,1022,1342,1915,1712,6,1588,1023,2034,697,1621
21,1637,92,456,357,35,1796,1993,8,498,31,1197,74,958,444,1933,1995,861,823,1214,1156
22,1559,2059,1342,804,1144,1032,465,1023,1066,68,698,909,174,524,995,113,298,696,1567,1932
23,444,1995,944,991,1214,1480,1541,823,1156,958,871,861,2068,791,1750,1933,1869,1993,1447,174
24,262,571,193,794,195,1384,934,1511,1969,23,156,205,798,2059,475,1342,916,68,1023,1046
25,513,799,327,171,1783,7,1588,2034,410,105,602,364,590,43,718,210,93,168,713,1789
26,456,1796,1637,958,357,31,1993,8,1197,35,74,498,92,1995,823,444,1933,1156,861,289
27,1534,65,474,200,819,1557,274,523,1529,1873,912,1405,1672,731,358,948,670,546,575,224
28,1581,958,1447,591,174,1869,2054,1350,713,1937,1640,1440,1995,6,1439,444,1322,227,1621,561
29,1559,113,804,696,995,1066,1932,1342,909,1032,475,698,1023,68,2059,465,1567,524,298,1046
30,174,2013,958,2054,1214,1781,581,444,861,1541,99,44,1995,823,1156,327,1937,1869,513,2034
31,116,1308,1870,524,1586,465,697,1133,916,1969,1023,1284,571,1915,1559,1289,298,1984,1132,1056
32,1684,1064,1718,1133,375,806,677,1018,958,1927,1261,1697,804,1559,1061,1567,916,1342,1932,1023
33,2059,113,696,909,1032,916,1779,1534,995,1066,1915,1284,1951,1009,298,819,200,1567,465,1342
34,410,1588,7,171,2034,513,799,327,1712,1783,1995,1541,99,444,1581,861,1640,1933,1056,1322
35,2034,799,513,171,327,1783,7,410,1640,1588,1621,1322,6,561,1440,1350,1712,591,2054,958
36,1718,1064,375,1219,958,679,839,1255,1018,1692,1800,1898,1851,531,122,1108,905,1684,528,719
37,1054,738,1649,221,1751,749,14,200,1664,1856,1512,93,274,1833,1396,575,1010,1705,299,1577
