154813063,154988490,154812653,154988687,154813137,154988374
69310339,1303333,1482993,1390547,48046874,34272570
2426310,1399548,45840088,3473081,1906076,52069599
153859787,134936491,153202735,144861777,153196312,153927835
153092225,153083394,150788093,145861018,148672253,150910911
1303333,1838472,1642743,45840088,34272570,1242462
154988814,154989104,154813297,154813428,155011221,154987868
154813137,154735339,154988687,154813361,154812888,154735289
154813063,154812653,154813458,154812787,154988278,154813246
14907333,1491079,11567688,52069599,1399548,3356741
43459010,2426310,45840088,3473081,2874170,1399548
153859787,134936491,153195284,153888789,153196312,17065662
154735048,154735339,154988687,154813361,154813246,155011103
2426310,1399548,4909388,45840088,1906076,52069599
143529220,154812711,154812588,154988814,154813428,154813205
154988936,154735339,154812653,154735048,154813458,154735289
69310339,2207652,32085837,41620945,4832181,2160900
1399548,1426698,45840088,3473081,1906076,52069599
11567688,1906076,3392754,45840088,1399548,52069599
3775075,1443478,4589423,13129748,142946774,2903228
154988814,154989104,154813331,154813428,155011221,154813205
143529220,154812588,154813297,154735091,154813205,154813331
154735048,154988490,154987980,154813137,154988278,154812888
154735048,154988490,154812653,154988936,154813458,154812888
154735048,154988936,154735339,154813361,154988278,154813246
155011338,154735339,154987980,154812653,154988278,154813246
3356741,1491079,11567688,152795851,45840088,1399548
154813361,154988936,154735048,154813458,154812888,155011103
11567688,1399548,46931916,56491378,1390547,1906076
43459010,4909388,45840088,2874170,1906076,52069599
154988936,154987980,154813361,154813458,154988374,154735289
154735048,155011338,154987980,154988687,154813137,155011103
14907333,1390547,3473081,1399548,1242462,52069599
153859787,153202735,144861777,153888789,153927835,139913429
154735048,154987980,154813137,154988278,154812888,154735289
134936491,144861777,153195284,153888789,153196312,153927835
51508162,2207652,14907333,58241574,2956522,43704692
154813063,154988936,154987980,154988687,154735289,155011103
143529220,154812711,154989104,154813331,154813428,155011221
1491079,11567688,1399548,152795851,1906076,52069599
153859787,144861777,153195284,153888789,153196312,153927835
150863809,153083842,147027621,145860172,148588172,153091742
2772325,1491079,30022603,1390547,2251260,1348893
154812711,154988814,154813297,154735091,155011221,154987868
150863809,145927398,153085192,147022074,147013596,147174814
2407300,1017510,13129748,47204854,87792604,52069599
151988839,153083628,148588172,145924879,153632625,150142260
134936491,153859787,144861777,153888789,153196312,153927835
154988124,154812588,154813331,154813428,155011221,154987868
3356741,1491079,1390547,45840088,1399548,1242462
153859787,134936491,153195284,153888789,153196312,153927835
154813063,154735048,154812653,154988687,154735289,155011103
2426310,1399548,3473081,2874170,1906076,52069599
154988936,155011338,154735048,154812787,154812888,155011103
145860356,153083628,148588172,149133548,153338037,147174814
154812653,154988687,154813458,154812787,154988278,154813246
3356741,1399548,3473081,1906076,1242462,52069599
154988936,154988490,154735339,154813458,154988278,154812888
150787648,150140552,153083628,146997298,147013596,153091742
142946774,11567688,4589423,2300436,1443478,1242462
154812588,154988814,154989104,154813331,155011221,154988124
153083842,145860356,149136754,149133136,146997298,153082969
153083394,145860356,147002088,145924879,150140552,153091742
154988936,155011338,154735339,154812653,154735048,154813246
155011338,154987980,154812653,154988687,154813137,155011103
153083394,145860804,146997298,150142260,145861018,150788093
153092225,146803681,150139883,149136754,145861018,147013596
14907333,1838472,36141868,4540398,4589423,1242462
