0,958,823,1933,861,1995,444,456,1993,31,35,1214,1637,1197,1796,1156,498,8,1541,1581,1440
1,444,861,823,1933,1541,1214,1995,1156,456,1197,8,1581,1796,1637,31,958,74,35,498,357
2,591,1447,174,1869,1581,823,561,444,1621,1995,1350,861,2054,958,1322,1214,1541,1640,581,1933
3,327,513,1933,7,2034,1581,410,1783,861,171,1541,1214,799,823,444,1156,1588,1995,958,2013
4,861,444,1933,1995,1214,1541,1156,823,958,456,1993,31,35,1637,1197,1796,498,8,1581,74
5,327,7,171,1783,1281,513,1143,799,2034,727,711,1539,14,1751,1764,1381,1118,1058,749,881
6,456,958,1796,35,1993,8,1637,357,74,31,498,92,1197,1783,327,513,2034,444,799,823
7,444,823,740,1779,861,1933,456,1995,1197,1387,1214,498,31,35,1993,1951,1009,117,357,1156
8,1511,156,1384,193,205,798,195,262,794,23,934,1969,571,561,787,1621,405,1583,1640,591
9,823,1933,444,1995,861,1541,1156,1214,958,1581,92,8,1197,591,1993,456,1796,35,357,1637
10,621,1219,1898,1275,521,905,1793,679,422,2043,1851,172,759,1844,2065,1800,1592,729,1035,528
11,791,871,2068,521,759,944,1750,1275,621,1480,991,1219,905,729,594,1851,1793,679,1214,2043
12,871,791,1995,1750,444,740,1214,1197,456,498,1933,861,1480,1541,944,1973,1796,2068,1993,35
13,440,1186,1192,483,2037,609,613,255,958,44,727,1665,1697,2054,684,21,965,977,1937,840
14,1583,156,405,787,195,1511,794,23,1384,1022,193,205,591,934,561,262,798,571,1447,1969
15,327,1577,376,1783,7,799,513,171,2034,1740,1111,1581,410,1588,1869,174,1712,1541,1721,1512
16,327,2034,410,1581,561,1640,171,1541,1588,861,823,1783,1214,513,1621,1440,7,1933,444,1156
17,823,444,861,1933,1995,1214,1541,958,1156,44,1581,2037,289,591,1637,1322,35,1197,1056,1621
18,823,444,861,958,1933,1214,1541,1995,1156,44,1581,2037,1927,289,1261,591,1697,1637,21,1322
19,1692,1624,531,691,963,719,434,1541,1350,444,823,861,1214,1156,2054,1440,1933,1018,1995,357
20,1933,1541,1214,823,861,1156,444,958,1581,1995,581,870,1712,410,227,1783,794,513,2034,1869
21,1796,456,357,1197,44,35,958,1993,31,1637,823,8,498,1995,2037,289,1214,444,74,1156
22,561,1581,1621,1322,1440,1640,1699,6,916,995,410,298,958,1023,1144,1915,698,1932,804,1583
