0,1833,221,727,14,93,1396,852,749,95,1923,881,1775,712,1721,609,43,1649,1749,1961,1192
1,861,1541,1156,1995,1933,823,1214,444,35,1637,591,958,498,1197,31,99,8,456,1652,357
2,1009,740,357,35,8,92,117,1387,861,1951,289,456,1779,1796,1197,1933,31,1214,1156,1541
3,1058,1010,1512,1751,1054,1355,1764,1283,582,1705,1806,1149,448,414,1143,1396,1118,670,712,819
4,168,364,1883,1703,1954,1913,738,95,1876,1910,1476,1664,1461,117,1779,807,1330,1289,1391,1585
5,1156,1064,1522,1652,1995,1933,375,823,1718,1404,861,1684,806,1214,1541,846,1439,1018,990,1973
6,301,1721,1183,1405,95,1534,1800,912,1289,1664,881,738,1108,575,819,1512,1971,1923,440,670
7,1833,727,221,14,93,1396,749,852,1923,1775,95,881,712,1649,1721,128,43,1749,1381,1539
8,14,727,1833,221,1396,93,852,749,1923,95,1775,881,1749,1539,43,1281,337,1703,128,1764
9,8,1796,456,74,1993,31,35,1637,92,357,1197,498,958,1156,1933,1995,861,289,1214,2037
10,1009,740,117,1387,1951,1779,1439,1522,1404,1684,998,806,92,145,1993,977,2053,1064,253,456
11,1149,414,448,1806,1355,1058,1762,1910,1211,1281,1512,1118,1476,1054,1381,1764,168,1289,602,891
12,1833,727,221,14,1396,93,749,852,1923,128,1775,95,1749,1721,1010,881,712,763,1281,1539
13,1009,740,35,117,1387,357,1951,456,1779,92,1197,8,1796,958,74,1439,1637,31,498,1993
14,1721,301,1183,95,1800,819,727,1534,1108,1923,912,440,575,403,2025,1101,712,738,14,1405
15,14,1833,727,221,1396,93,749,852,95,1923,128,881,1749,546,1650,1010,1539,1405,1775,912
16,861,1541,1156,1214,1995,1933,823,444,35,591,31,1637,958,1796,456,1581,1447,174,871,357
17,35,31,357,8,1796,1637,456,74,1993,92,498,1197,958,2037,44,861,289,823,1581,1214
18,1796,35,8,74,456,31,357,1637,498,92,1993,1197,958,1156,1933,1995,861,289,1214,2037
19,1064,375,1018,1718,806,1684,871,1133,677,35,944,31,227,791,456,1480,991,1993,2012,236
20,301,1721,1183,95,1405,1534,1800,727,274,1283,1971,1923,912,440,575,881,278,712,403,1108
21,1721,301,1183,95,14,299,1534,1923,265,440,609,718,2025,727,221,1101,712,949,274,166
22,221,1833,14,727,93,1396,749,852,1923,95,881,1775,763,1721,128,1961,43,1649,1749,1539
23,727,14,1833,221,1396,93,749,852,1923,95,128,881,1749,1650,1010,1539,1775,832,1143,1118
24,14,1833,727,221,1396,93,852,749,95,1923,881,128,1749,1721,1649,1539,1775,1650,832,43
25,14,1833,727,221,93,1396,749,852,1923,128,95,1775,881,1749,1703,1539,1281,43,763,1764
26,8,1796,1993,456,74,31,35,1637,92,357,1197,498,2037,1440,444,958,6,1933,561,1541
27,14,1833,727,221,1396,93,852,749,95,1923,881,128,1749,1010,1539,1775,1650,1118,832,1143
28,456,498,1197,74,357,1993,92,8,1796,31,35,1637,958,44,2037,289,823,1933,861,1214
29,1009,740,117,1387,1951,1779,1439,1522,1652,1404,846,1973,1276,2012,942,253,1194,378,92,1993
30,14,1833,727,221,1396,93,852,749,95,881,128,1749,1923,1010,1539,1775,1118,1192,43,1703
31,1833,221,727,14,93,1396,749,852,1923,1775,95,881,712,128,43,1749,1381,763,1721,376
32,35,31,8,1796,357,74,1637,92,498,456,1993,1197,958,44,2037,861,289,1581,823,1214
33,1058,1054,1751,1355,1512,582,1010,1764,1283,1705,1143,1118,128,1725,448,1749,711,414,1539,1856
34,1833,14,221,727,93,1396,749,852,1923,95,881,1775,1721,128,43,1649,1749,1381,376,1539
35,1058,1355,1010,1751,1512,1764,1283,1054,1705,582,1149,1143,1118,1749,711,1806,1775,414,1539,448
36,861,1933,1541,1214,1995,444,823,1156,35,591,958,1581,1637,1796,498,1447,31,8,871,944
37,1833,727,93,14,221,1396,749,852,1923,546,95,1749,881,1721,1010,1539,1775,1649,1118,128
38,1721,301,1183,95,1800,1405,546,881,727,912,1534,403,575,440,1923,712,1101,1108,299,819
39,8,1796,456,74,1993,31,35,1637,92,357,1197,498,2037,444,958,1933,1541,289,44,1156
40,1058,1010,1751,1512,1355,1764,1283,1054,582,1705,1149,1143,1118,1749,711,1806,414,448,819,1725
41,168,364,403,1958,1883,1476,1289,1330,1910,1913,1703,1461,1499,448,1585,1241,1954,896,1779,1391
42,2037,1933,1541,1156,44,444,861,1214,823,958,1440,1995,6,1581,1699,2013,1322,289,1781,561
43,301,1721,1183,95,1923,14,1971,1534,278,1512,1101,609,440,712,727,221,960,738,1396,1289
44,168,364,1958,403,1461,738,1703,1910,1954,609,1664,1876,1585,896,442,1725,1650,1499,448,1289
45,958,1637,1993,357,456,35,31,1796,74,8,92,1197,861,498,1541,1995,1156,1933,444,1214
46,168,1779,1009,1387,364,1461,117,1330,1883,1703,95,1910,105,738,1499,1241,1725,820,616,1951
47,1058,1010,1751,1512,1355,1764,1283,1054,582,1705,1149,1806,414,448,1143,1118,1749,711,819,128
48,301,1721,1183,95,278,727,1534,403,440,1923,1101,712,299,819,14,1283,109,646,1800,881
49,35,31,1637,74,1796,456,8,357,1993,92,498,1197,958,289,2037,44,1933,1156,861,1581
50,1058,1010,1751,1512,1355,1764,1283,1054,582,1705,1149,1143,1118,1749,711,1806,414,448,819,1725
51,1833,221,727,14,93,1396,749,852,1923,1775,1539,1749,95,1281,1010,881,712,1381,1721,546
52,117,1009,1951,1387,1779,740,1439,1522,1404,977,1692,998,2053,531,92,1993,1585,1064,253,733
53,1833,14,727,221,1396,93,852,749,1923,95,881,1749,1010,1539,1775,128,1512,1721,1650,832
54,168,1461,364,1883,1499,616,1958,1585,1954,896,1476,820,1817,1211,609,1910,1973,1289,738,1241
55,1833,221,727,14,1396,93,852,749,1923,1775,95,881,1749,1539,43,1281,337,128,1703,1764
56,35,31,8,1796,357,1637,456,74,1993,92,498,1197,958,2037,44,861,289,823,1581,1214
57,727,14,1833,221,1396,93,852,749,1923,95,881,128,1749,1650,1539,1775,832,546,43,364
58,168,364,1958,448,1355,1751,95,1883,807,1461,1775,1289,38,1703,1010,1954,403,1938,1585,738
59,1064,1133,375,806,677,1684,1718,35,1018,888,31,1796,1995,236,1439,1276,444,227,1194,823
60,301,1721,1183,727,95,1923,14,1833,1534,403,1101,1396,609,440,278,43,221,712,819,1585
61,168,364,1461,1289,1703,1958,1954,1883,1913,817,1539,671,1381,1938,1865,403,1585,483,1241,253
62,168,403,1958,364,1883,1476,1703,616,95,1954,1499,43,1381,1461,711,1910,1330,1913,738,1585
63,14,1833,727,93,221,1396,749,852,1923,95,128,881,1749,1650,1010,1873,1539,1775,912,1054
64,1833,221,727,14,93,1396,749,852,1923,1775,95,881,712,128,43,1749,1381,763,1721,376
65,168,364,609,1461,1913,738,95,1585,1883,1703,1954,440,1391,1910,852,1664,1289,1017,403,483
66,168,364,1476,95,1703,1211,414,1954,1817,448,1461,1585,807,1241,1289,852,1330,1883,403,1876
67,871,944,1652,861,888,2068,378,1750,1156,1995,375,1194,1522,1214,591,236,1276,990,791,1480
68,168,738,364,1289,1958,1476,448,1461,1703,1910,95,1954,1010,1821,1387,1211,440,1775,1499,1355
69,727,14,1833,221,1396,93,749,852,1923,95,128,881,1749,1775,43,1539,1664,1764,763,546
70,301,1721,1183,95,299,1800,1405,440,278,1534,1971,1923,912,575,881,712,727,1108,1101,819
71,1721,301,1183,95,727,1923,14,1534,1101,609,440,712,2025,221,265,718,646,1396,432,278
72,1833,221,14,727,1396,93,852,749,95,1010,881,128,712,1749,1775,1923,1764,43,1512,1539
73,1833,727,221,14,93,1396,749,852,1923,1775,95,1749,881,1721,1281,1539,43,1649,1703,128
74,1541,1156,1933,861,1995,823,1214,444,35,591,1637,958,1581,1796,498,31,357,8,456,74
75,958,1214,1869,1156,1581,861,1933,44,1995,2037,823,1541,1781,99,1637,444,525,174,1097,289
76,861,1156,1995,1933,1541,1214,823,444,35,1637,1796,1197,591,456,31,498,357,1581,92,8
77,1995,1156,1541,1933,861,444,823,1214,35,591,1637,498,1796,1197,357,31,456,8,958,1581
