location_id,latitude,longitude,city,country
16182332,41.908989,-87.638184,Chicago,us
17595642,41.975826,-87.699097,Chicago,US
667612,41.947105,-87.66162,Chicago,us
186752,41.900002,-87.669998,Chicago,us
200270,41.905666,-87.630135,Chicago,us
102074,41.995613,-87.660534,Chicago,us
667927,41.8518,-87.63198,Chicago,us
667584,41.956375,-87.6933,Chicago,us
938155,41.868125,-87.620547,Chicago,us
710116,41.954396,-87.748982,Chicago,us
385149,41.985752,-87.72831,Chicago,us
403965,41.899998,-87.62405,Chicago,us
505757,41.893223,-87.6312,Chicago,us
871964,41.875538,-87.627545,Chicago,us
577631,41.853378,-87.633255,Chicago,us
554311,41.94709,-87.66401,Chicago,us
611737,41.88445,-87.62988,Chicago,us
391715,41.950726,-87.66411,Chicago,us
667923,41.893124,-87.639305,Chicago,us
250527,41.944443,-87.66393,Chicago,us
752454,41.989216,-87.660615,Chicago,us
766443,41.917889,-87.683205,Chicago,us
667729,41.94197,-87.72714,Chicago,us
757284,41.908682,-87.649078,Chicago,us
251599,41.948227,-87.65434,Chicago,us
310260,41.97698,-87.68912,Chicago,us
788367,41.87896,-87.677351,Chicago,us
667640,41.879528,-87.625069,Chicago,us
841815,41.964242,-87.685352,Chicago,us
787482,41.8907,-87.624254,Chicago,us
667826,41.919308,-87.66114,Chicago,us
879477,41.968014,-87.689308,Chicago,us
957017,41.885785,-87.66033,Chicago,us
833677,41.944605,-87.705549,Chicago,us
312093,41.875919,-87.620598,Chicago,us
727412,41.965523,-87.660581,Chicago,us
837800,41.935305,-87.662535,Chicago,us
1027268,41.982727,-87.660065,Chicago,us
667605,41.93382,-87.66047,Chicago,us
195916,41.891026,-87.618912,Chicago,us
667644,41.884914,-87.62793,Chicago,us
667630,41.925117,-87.66658,Chicago,us
667676,41.85371,-87.634094,Chicago,us
202725,41.954661,-87.654844,Chicago,us
708403,41.916619,-87.686634,Chicago,us
931709,41.976514,-87.668786,Chicago,us
1270595,41.965783,-87.646287,Chicago,us
1292804,41.969058,-87.659661,Chicago,us
1320518,41.975897,-87.668561,Chicago,us
843188,41.927906,-87.705089,Chicago,us
1197584,41.953636,-87.728688,Chicago,us
1332693,41.979445,-87.667929,Chicago,us
1161148,41.97315,-87.691342,Chicago,us
680981,41.949668,-87.663609,Chicago,us
1323950,41.922116,-87.697668,Chicago,us
1472446,41.891767,-87.624208,Chicago,us
1087034,41.907035,-87.66349,Chicago,us
667694,41.938114,-87.65403,Chicago,us
1601416,41.797523,-87.736771,Chicago,us
3616212,41.938652,-87.644249,Chicago,us
2467511,41.962025,-87.645561,Chicago,us
180759,41.933628,-87.645515,Chicago,us
1471977,41.968077,-87.693757,Chicago,us
1459292,41.886589,-87.655864,Chicago,us
667619,41.946445,-87.65591,Chicago,us
4693172,41.894146,-87.623473,Chicago,us
449011,41.877907,-87.649605,Chicago,us
4786942,41.911106,-87.662445,Chicago,us
5036332,41.990368,-87.660103,Chicago,us
1521693,41.983288,-87.66008,Chicago,us
4542272,41.922775,-87.687401,Chicago,us
1270826,41.882689,-87.625733,Chicago,us
3855382,41.894146,-87.623474,Chicago,us
1493847,41.968056,-87.689079,Chicago,us
3235882,41.979847,-87.667641,Chicago,us
5772722,41.973415,-87.691925,Chicago,us
350829,41.938503,-87.64433,Chicago,us
5598512,41.882164,-87.624504,Chicago,us
15421462,41.85815,-87.624245,Chicago,us
1282818,42.007931,-87.665035,Chicago,us
962332,41.963525,-87.685254,Chicago,us
862449,41.8925,-87.625884,Chicago,us
8111322,41.956863,-87.653282,Chicago,us
769515,41.88446,-87.624361,Chicago,us
279780,41.889999,-87.629997,Chicago,us
9561022,41.967388,-87.76075,Chicago,us
459280,41.89101,-87.61916,Chicago,us
9813772,41.934826,-87.653816,Chicago,us
7647552,41.932686,-87.645821,Chicago,us
1335513,41.969958,-87.659546,Chicago,us
11038132,41.884602,-87.628357,Chicago,us
10394762,41.883282,-87.651817,Chicago,us
9079382,41.889088,-87.672836,Chicago,us
1325780,41.88412,-87.641228,Chicago,us
11234902,41.916019,-87.688507,Chicago,us
11267592,41.890923,-87.631744,Chicago,us
9084422,41.879456,-87.628281,Chicago,us
11347312,41.952942,-87.661415,Chicago,us
11689222,41.894215,-87.628342,Chicago,us
924837,41.954564,-87.669708,Chicago,us
1051515,41.946439,-87.655546,Chicago,us
6157032,41.853367,-87.634796,Chicago,us
5616352,41.895218,-87.631584,Chicago,us
