user_id,event_id
16926101,94067352
5184838,94132232
11174920,94132232
20664811,94132232
46338182,94132232
9276695,94184562
11811569,94184562
12806882,94184562
14261523,94184562
29792312,94184562
39367452,94184562
52122162,94184562
1243408,94188152
3869629,94188152
9931437,94188152
10990087,94188152
11418108,94188152
13879459,94188152
32350862,94188152
49943422,94188152
53846652,94188152
54148922,94188152
54230352,94188152
2607982,94189512
9537709,94189512
9931437,94189512
53846652,94189512
9931437,94190022
9931437,94190442
7419406,94297252
8853062,94297252
9363743,94297252
9451173,94297252
7391441,94321672
12797846,94321672
1771735,94331962
2956298,94331962
3014038,94331962
5750429,94331962
9087063,94331962
10912175,94331962
11722543,94331962
12767407,94331962
13175846,94331962
13179645,94331962
13998202,94331962
14024589,94331962
14108214,94331962
14431830,94331962
25572012,94331962
28490012,94331962
31950932,94331962
34998362,94331962
44910692,94331962
47376602,94331962
51524012,94331962
60443462,94331962
66969422,94331962
70579092,94331962
81520922,94334162
2113690,94346372
3014038,94346372
5342544,94346372
8053520,94346372
8086771,94346372
9381387,94346372
9383197,94346372
9474291,94346372
10224738,94346372
11028681,94346372
11056419,94346372
11303855,94346372
13442249,94346372
13932531,94346372
17648921,94346372
23188511,94346372
31238492,94346372
33556012,94346372
33654602,94346372
54230352,94346372
59170612,94346372
72497282,94346372
73872882,94346372
76008872,94366952
5750429,94367442
14161211,94367442
31172512,94367442
31950932,94367442
33460632,94367442
37860652,94367442
60443462,94367442
78414392,94367442
2781869,94368112
12311055,94368112
37860652,94368112
74510322,94368112
78414392,94368112
1909603,94368542
8853062,94368542
9065678,94368542
9363743,94368542
9381567,94368542
9451173,94368542
10023858,94368542
73879022,94368542
8853062,94375722
9363743,94375722
9451173,94375722
10023858,94375722
2781869,94383512
8853062,94383512
9363743,94383512
9381567,94383512
9451173,94383512
10023858,94383512
51524012,94383512
72837942,94383512
1602608,94462912
7880148,94470212
8545736,94470212
9156239,94470212
10037711,94470212
10642198,94470212
11174920,94470212
11900080,94470212
12130423,94470212
48759722,94470212
75621912,94470212
7927663,94471422
11115899,94471422
7927663,94471572
11115899,94471572
7927663,94471682
11115899,94471682
1771735,94494492
9410187,94494492
9802330,94494492
11429748,94494492
11722543,94494492
12767407,94494492
13179645,94494492
14161211,94494492
14431830,94494492
45409482,94494492
51524012,94494492
56886862,94494492
60168902,94494492
66969422,94494492
74510322,94494492
1811065,94504842
6218632,94504842
46735882,94504842
2607982,94622442
3080133,94622442
3466187,94622442
3719477,94622442
7292762,94622442
9822495,94622442
10454158,94622442
11300806,94622442
11811569,94622442
12558097,94622442
12685575,94622442
13953458,94622442
14231717,94622442
16215971,94622442
23294381,94622442
28952322,94622442
32399372,94622442
34879092,94622442
38918702,94622442
39367452,94622442
41971042,94622442
44452632,94622442
47164332,94622442
49798472,94622442
64216492,94622442
69032882,94622442
70326502,94622442
72319842,94622442
75009582,94622442
75256792,94622442
12209059,94625052
14201304,94625052
74564392,94625052
2298742,94625702
12209059,94625702
14201304,94625702
40912542,94625702
12209059,94626972
14201304,94626972
6718645,94643482
8853062,94643482
9065678,94643482
9363743,94643482
9451173,94643482
10023858,94643482
12534149,94643482
37955212,94650742
56516072,94650742
12205942,94651312
56516072,94651312
14123259,94652212
56516072,94652212
56516072,94652322
75652752,94652322
9117584,94665172
2298742,94685402
14201304,94685402
3556171,94686662
12209059,94686662
14201304,94686662
32118902,94686662
61826832,94698522
72436632,94698522
42863302,94704452
6110310,94706572
8083052,94706572
10472905,94706572
11597797,94706572
24834862,94706572
33604052,94706572
39119612,94706572
44989042,94706572
67674202,94706572
4059125,94717062
7065664,94717062
14647142,94717062
56712512,94717732
71865602,94717732
13521723,94736812
2287055,94791972
3719477,94791972
3775776,94791972
11415904,94791972
11811569,94791972
12806882,94791972
16215971,94791972
44452632,94791972
52122162,94791972
59805602,94791972
73294932,94791972
5462795,94950682
13528349,94950682
42863302,94950682
9567325,94955322
53671412,94955322
9567325,94955492
53671412,94955492
546487,94957112
1771735,94957112
2089797,94957112
2223905,94957112
2227731,94957112
3155925,94957112
3466187,94957112
3720668,94957112
4174693,94957112
4188340,94957112
5279504,94957112
5342544,94957112
5750429,94957112
6356469,94957112
7419406,94957112
7698252,94957112
7998466,94957112
8002588,94957112
8749138,94957112
8968324,94957112
9065678,94957112
9260980,94957112
9329683,94957112
9406816,94957112
9741144,94957112
9770955,94957112
10028637,94957112
10050389,94957112
10224738,94957112
10493191,94957112
10974360,94957112
11641945,94957112
12011815,94957112
12311055,94957112
13535269,94957112
14092182,94957112
14161211,94957112
14475957,94957112
20515631,94957112
22380011,94957112
24784622,94957112
31172512,94957112
41971042,94957112
42295032,94957112
42842872,94957112
48428352,94957112
49564002,94957112
50603942,94957112
59170612,94957112
60168902,94957112
60488372,94957112
63421802,94957112
67183042,94957112
67947172,94957112
69900132,94957112
73661552,94957112
13953458,94988882
60957392,94988882
61266632,94988882
9041770,94999072
9156239,94999072
11174920,94999072
11502774,94999072
11900080,94999072
11174920,95047912
20664811,95047912
51046332,95047912
4639139,95078452
9256849,95078452
10449517,95078452
28839202,95078452
57805442,95078452
59846322,95078452
67938682,95078452
53671412,95079782
1927173,95091882
1931407,95091882
2678583,95091882
4059125,95091882
3014038,95106382
5279504,95106382
6356469,95106382
